,Unnamed: 0,recipe_urls,recipe_name,ingredients
857,1714,https://www.allrecipes.com/recipe/238723/vegetarian-keema-matar-with-cucumber-raita/,Vegetarian Keema Matar with Cucumber Raita Recipe - Allrecipes.com,"[""1 (340 gram) package Yves Veggie Cuisine(R) Original Veggie Ground Round"",""1 green chile pepper, sliced into 1/2-inch (1 cm) rounds, or to taste"",""1 medium onion, finely chopped"",""1 tablespoon Spectrum(R) Canola Oil"",""1 tablespoon grated ginger root"",""1 tablespoon lemon juice"",""1 teaspoon garam masala"",""1 teaspoon ground coriander"",""1 teaspoon ground cumin"",""1/2 cup frozen green peas (matar)"",""1/3 cup finely shredded or finely diced English cucumber (unpeeled)"",""1/4 teaspoon ground cumin"",""2 large garlic cloves, minced"",""2 tablespoons chopped fresh coriander"",""2 tablespoons chopped fresh mint"",""2 tablespoons finely diced red onion (optional)"",""3/4 cup The Greek Gods(R) Plain Yogurt"",""3/4 cup tomatoes, chopped"",""Cucumber Raita (prepare ahead):"",""Pinch dried red chile peppers (optional)"",""Pinch paprika or chili powder""]"
858,1715,https://www.allrecipes.com/recipe/58312/slow-cooker-chai/,Slow Cooker Chai Recipe - Allrecipes.com,"[""1 (14 ounce) can sweetened condensed milk"",""15 green cardamom pods, split open and seeded"",""15 slices fresh ginger, peeled"",""25 whole cloves"",""3 1/2 quarts water"",""3 cinnamon sticks"",""3 whole black peppercorns"",""8 black tea bags""]"
859,1716,https://www.allrecipes.com/recipe/16487/curried-chicken-and-rice-salad/,Curried Chicken and Rice Salad Recipe - Allrecipes.com,"[""1 cup sour cream"",""1/2 cup celery, sliced"",""1/4 cup chopped red bell pepper"",""1/4 cup green onions, chopped"",""1/4 cup mayonnaise"",""2 cups chopped cooked chicken breast"",""2 tablespoons pine nuts"",""2 teaspoons ground curry powder"",""3 cups cooked white rice"",""3 tablespoons peach or mango chutney"",""3/4 teaspoon seasoned salt""]"
860,1717,https://www.allrecipes.com/recipe/219292/hot-coffee-masala/,Hot Coffee Masala Recipe - Allrecipes.com,"[""1 1/2 teaspoons instant coffee granules"",""1 whole star anise pod"",""1/2 cinnamon stick"",""2 cumin seeds, or to taste"",""2 cups water"",""2 teaspoons nonfat dry milk powder"",""2 teaspoons white sugar""]"
861,1718,https://www.allrecipes.com/recipe/262499/tandoori-paneer-tikka-masala/,Tandoori Paneer Tikka Masala Recipe - Allrecipes.com,"[""1 (2 inch) piece fresh ginger root, chopped"",""1 1/2 teaspoons dried fenugreek leaves"",""1 green bell pepper, cut in 1-inch pieces"",""1 red bell pepper, cut in 1-inch pieces"",""1 tablespoon dried fenugreek leaves"",""1 tablespoon ground coriander"",""1 teaspoon cayenne pepper, or to taste"",""1 teaspoon garam masala"",""1/2 cup cashews"",""1/2 cup plain yogurt"",""1/2 large onion, cut into 1-inch pieces"",""1/2 lime, juiced"",""1/2 onion, finely chopped"",""1/2 teaspoon cayenne pepper, or to taste"",""1/2 teaspoon garam masala"",""1/2 teaspoon ground turmeric"",""16 ounces paneer, cut into 1-inch cubes"",""2 large tomatoes, finely chopped"",""2 tablespoons mustard oil"",""2 tablespoons olive oil"",""2 teaspoons cumin seeds"",""5 cloves garlic, chopped"",""For the Ginger-Garlic Paste:"",""For the Kebabs:"",""For the Sauce:"",""salt to taste""]"
862,1719,https://www.allrecipes.com/recipe/190490/easy-chickpea-curry/,Easy Chickpea Curry Recipe - Allrecipes.com,"[""1 (14 ounce) can coconut milk"",""1 (15 ounce) can garbanzo beans, drained"",""1 onion, chopped"",""1 tablespoon butter"",""1 tomato, chopped"",""1/2 teaspoon ground ginger"",""1/2 teaspoon ground paprika"",""1/2 teaspoon white sugar"",""1/3 cup milk"",""1/4 cup ground almonds, or as needed"",""1/4 teaspoon ground turmeric"",""1/4 teaspoon pepper"",""1/4 teaspoon salt"",""2 cubes chicken bouillon"",""2 potatoes, chopped"",""2 tablespoons ketchup"",""2 tablespoons sour cream"",""2 teaspoons garam masala"",""3 cloves garlic, minced"",""3 teaspoons curry powder""]"
863,1720,https://www.allrecipes.com/recipe/43784/spicy-swordfish/,Spicy Swordfish Recipe - Allrecipes.com,"[""1 cup unsweetened coconut milk"",""1 mango - peeled, seeded, and cubed"",""1 pound fresh swordfish, cut into chunks"",""1 teaspoon chili powder"",""1/2 cup chopped fresh ginger root"",""1/2 cup chopped red onion"",""salt to taste""]"
864,1721,https://www.allrecipes.com/recipe/222775/indian-chicken-rub/,Indian Chicken Rub Recipe - Allrecipes.com,"[""1 pinch ground ginger (optional)"",""1 teaspoon dry mustard"",""1 teaspoon fennel seeds"",""1 teaspoon garam masala, or more to taste"",""1/4 teaspoon rubbed sage"",""2 tablespoons chili powder"",""2 tablespoons curry powder"",""2 tablespoons garlic powder, or more to taste"",""2 tablespoons ground cumin"",""2 tablespoons smoked paprika"",""2 teaspoons ground cardamom"",""2 teaspoons ground coriander"",""2 teaspoons ground turmeric"",""2 teaspoons onion powder"",""salt and ground black pepper to taste""]"
865,1722,https://www.allrecipes.com/recipe/242006/indian-spiced-chicken/,Indian Spiced Chicken Recipe - Allrecipes.com,"[""1 (28 ounce) can diced tomatoes, drained"",""1 1/2 pounds skinless, boneless chicken thighs, cut into halves"",""1 onion, finely chopped"",""1 small head cauliflower, cored and cut into florets"",""1 tablespoon curry powder"",""1/2 cup chopped fresh cilantro, for garnish (optional)"",""1/2 teaspoon kosher salt"",""1/4 cup raisins"",""2 tablespoons grated fresh ginger"",""2 tablespoons tomato paste"",""ground black pepper""]"
866,1723,https://www.allrecipes.com/recipe/212487/lamb-gosht-biryani/,Lamb (Gosht) Biryani Recipe - Allrecipes.com,"[""1 onion, sliced"",""1 pound lamb chops"",""1 tablespoon garlic paste"",""1 tablespoon ginger paste"",""1 tablespoon vegetable oil"",""1 teaspoon salt"",""1/2 teaspoon saffron"",""1/4 cup chopped fresh cilantro leaves"",""1/4 cup cooking oil"",""2 1/2 cups basmati rice"",""2 tablespoons lemon juice"",""2 tablespoons plain yogurt"",""2 tablespoons warm milk"",""2 teaspoons ground red pepper"",""3 tablespoons chopped fresh mint leaves"",""3 tomatoes, chopped"",""4 black cardamom pods"",""4 cinnamon sticks"",""4 green chile peppers, halved lengthwise"",""4 large onions, sliced thin"",""7 1/2 cups water"",""8 whole cloves"",""salt to taste""]"
