,url,step_1,step_2
0,https://www.allrecipes.com/thmb/WIlQY-VrNsP0PPIhwDvfdxaIfiM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/685513-21843a69c4574b92b3236b4c5d0250d0.jpg,"Combine 1 1/2 cups sugar, lukewarm water, and 1 cup lukewarm milk in a very large bowl. Add yeast and let stand until yeast softens and begins to form a creamy foam, about 10 minutes.","Add 2/3 cup melted butter and 2 eggs to the bowl with the yeast mixture and mix well. Add 7 cups flour, 1 cup at a time and mix in; when dough comes together, start kneading until elastic but still sticky. Cover the bowl and let rise for 1 hour in a warm place."
1,https://www.allrecipes.com/thmb/Hl9v8AO3biNaBPxvvUL1w19hEwg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/767710-5e2740711b724dd0896569d2be4c7a70.jpg,"Trim fat from pork, cut into 1 inch pieces. Combine flour and pork in a resealable bag, seal and shake well.","Heat 1 tablespoon oil in a large skillet over medium high heat. Add pork, cook 3 minutes or until browned. Remove from pan and keep warm."
2,https://www.allrecipes.com/thmb/SkzcSLR785nELRokRLcAydXgdrg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5288226-1212368463a24f44b4e48e9bfd8454b1.jpg,"Place mushrooms in a small bowl and cover with water. Let soak until softened, about 15 minutes. Drain and cut into bite-size pieces.","Bring 1 1/2 cup water to a boil in a pot. Add pork and bamboo shots. Cook, skimming off any fat that rises to the top, until pork is tender, 5 to 10 minutes."
3,https://www.allrecipes.com/thmb/iFr5enAVUnnh9e2WGSr7kmjb_ik=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/974452-f0aaa62d64cc4c6199de73ab783ec40a.jpg,"Combine honey, hoisin sauce, dark soy sauce, star anise, five-spice powder, and aji mirin in a glass measuring cup. Set microwave oven for 60 percent power and heat in microwave oven for 22 seconds. Stir mixture and pour into a large resealable plastic bag. Add pork loin to the bag, knead to coat meat with marinade, and refrigerate at least 4 hours or up to two days.",Preheat grill for medium heat and lightly oil the grate.
4,https://www.allrecipes.com/thmb/ao9cL5lQ71kjnPs4Tnj3bLZSvKc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/774197-70ea702e4cb94f4a97e1e81062db03c1.jpg,"Beat the egg and salt together in a bowl until well mixed. In a separate bowl, combine the tapioca flour with the cold water and stir to dissolve.","Bring the chicken broth, ginger, and garlic to a full rolling boil, remove from the heat, and stir in the dissolved tapioca starch. Boil until the soup has thickened and is no longer cloudy, about 1 minute; remove from the heat. Pour the egg into the soup in a thin line, and gently stir the egg in a figure 8 shape, making sure not to overmix the egg too much. Sprinkle the soup with the chopped onions, sesame oil, and white pepper, and serve."
5,https://www.allrecipes.com/thmb/w3O-gBwkY1Tz3kTMYoZ4mXZdRm8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6237635-343fb100c7ec4e37af7ff778d812eb34.jpg,Bring chicken broth and peas to a boil in a large saucepan.,"Slowly add egg to the boiling broth, stirring constantly. Serve hot, garnished with chopped green onions."
6,https://www.allrecipes.com/thmb/a7PX0ablXxeUaAJyoj46H5mFsv4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4499731-945a4c5b622c469288af9147d281f59d.jpg,"Trim chicken of all excess fat, reserving fat.","Place chicken, spring onion, 3 cloves crushed garlic, and one 1-inch piece ginger in a large pot. Pour in enough water to cover. Bring to a boil; reduce heat to low and simmer, skimming any scum off the surface, until an instant-read thermometer inserted into the thickest part of the thigh, near the bone, reads 165 degrees F (74 degrees C), about 1 hour."
7,https://www.allrecipes.com/thmb/nwZUF425SHXggJOQm_QRDnjeeKU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/397482-669b926e435848a696baa1f643214ec5.jpg,"Whisk together the rice vinegar, red wine vinegar, soy sauce, sugar, and mustard. Drizzle in the peanut oil and sesame oil while whisking vigorously to emulsify. Set aside.","Bring a pot of lightly-salted water to a boil. Add the asparagus to the water and cook 3 to 5 minutes until just tender, but still mostly firm. Remove and rinse under cold water to stop from cooking any further."
8,https://www.allrecipes.com/thmb/xg9da78WDdj7xiEWjo5b5XRQe1E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/162144-d9c2ba097df64da38af32b7ea3f4efaf.jpg,"Cut chicken wings into 3 portions. Combine chicken, water, dark soy sauce, light soy sauce, garlic, and green onion in a large skillet. Stir together and cook for 15 minutes over medium heat.","Add 1/4 cup sesame oil and simmer for another 15 minutes over low heat. Bring mixture to a boil and add a dash of sesame oil. Remove from heat, let cool, and serve."
9,https://www.allrecipes.com/thmb/NmVR7p-_ZRt-8pbckxlh2TbClNw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/432442-44e26b67d337435590e0a0d434882dac.jpg,"Stir together 1 teaspoon vegetable oil, 1 teaspoon oyster sauce, and 1/2 teaspoon cornstarch in a bowl. Add beef and toss to coat. Marinate in the refrigerator 30 to 45 minutes. Remove from the refrigerator 10 minutes before cooking.","Stir together water, 1 teaspoon cornstarch, 2 tablespoons oyster sauce, and pepper in a small bowl; set aside. Heat 1 tablespoon vegetable oil in a large skillet over high heat. Stir in onion, and cook until it beings to brown on the edges, about 1 minute. Add the beef, and continue cooking and stirring until the beef is just slightly pink, about 5 minutes. Pour in the sauce; cook and stir until the sauce has thickened and turned translucent, about 1 minute more."
